200,240,247,363,429,524,547,549,665,777,779,921,940,990,1011,1087,1337,1428,1447,1649,1669,1756,1795,1836,1919,1973,2063,2069,2071,2260,2266,2420,2610,2716,2733,2754,3139,3237,3386,3527,4061,4377,4669,4679,4848,4967,5048,5260,5424,5488,5549,5694,5812,6043,6091,6112,6152,6331,6486,6491,6581,6703,6717,6953
88,303,333,392,420,453,480,665,711,742,759,776,781,804,865,871,899,903,960,1396,1489,1554,1556,1641,1649,1910,1966,1989,2087,2198,2251,2313,2323,2330,2386,2683,2716,3093,3139,3457,3525,3589,3598,3660,3951,4037,4278,4419,4632,4710,4847,5005,5141,5211,5427,5457,5731,5797,6100,6224,6468,6716,6988,7053
33,38,96,98,117,235,421,451,940,948,1159,1194,1206,1272,1322,1334,1616,1693,1761,1781,1872,1984,2002,2076,2162,2407,2516,2918,3001,3040,3123,3164,3182,3242,3303,3467,3527,3532,3607,3613,3766,3781,3980,4016,4072,4426,4505,4597,4710,4774,4841,4857,5299,5452,5488,5586,5677,5683,5690,5861,6152,6313,6366,6415
164,306,371,444,484,634,728,739,808,1139,1178,1378,1417,1584,1660,1679,1724,1891,2205,2224,2276,2453,2493,2923,3226,3419,3654,3660,3850,3986,4143,4159,4277,4299,4342,4379,4411,4462,4477,4577,4595,4684,4715,4806,4810,5178,5721,5742,5789,5833,5987,6015,6152,6228,6331,6410,6451,6529,6551,6596,6703,6707,6892,7011
10,34,37,48,80,89,118,171,315,328,355,402,546,712,772,821,826,883,938,993,995,1051,1068,1185,1256,1491,1496,1506,1641,1722,1735,1752,1754,1948,2013,2183,2189,2357,2366,2367,2412,2733,2785,2949,3144,3167,4278,4411,4596,4710,4806,4807,4949,4978,5473,5585,5653,5812,6202,6225,6307,6512,6726,6752
52,104,492,535,659,938,966,973,1188,1322,1426,1560,1640,1660,1836,1845,1869,1912,1975,1988,2062,2091,2251,2288,2318,2377,2404,2412,2781,2789,2918,2949,3082,3144,3525,3583,3589,3597,3679,3773,3801,3951,4060,4202,4278,4380,4458,4646,4774,4955,5101,5420,5586,5784,5803,5973,6126,6267,6278,6369,6629,6880,6946,7011
5,31,39,223,289,367,465,572,739,775,780,814,815,859,871,909,922,1001,1034,1123,1241,1448,1683,1691,1791,1811,1989,1993,2001,2081,2087,2133,2167,2169,2296,2384,2932,3182,3184,3217,3224,3260,3288,3305,3458,3976,4072,4109,4439,4462,4679,4967,5106,5318,5647,5686,5819,6313,6504,6614,6717,6927,6979,7034
9,16,38,79,103,114,180,249,331,356,370,404,514,651,665,838,864,931,978,984,1108,1159,1228,1263,1424,1630,1729,1919,1939,2038,2187,2260,2412,2497,2539,2760,3127,3527,3598,3779,4157,4278,4283,4577,4801,4806,4807,4847,4955,5141,5161,5181,5244,5586,5833,6225,6251,6492,6562,6726,6845,6866,6869,7058
23,33,52,216,304,318,355,438,473,475,594,656,728,772,798,882,885,1085,1099,1118,1125,1203,1272,1283,1364,1382,1412,1460,1468,1487,1552,1553,1636,1975,2251,2290,2360,2754,2829,2855,2910,2949,3140,3258,3808,4143,4180,4458,4643,4678,4806,4852,4949,4973,5062,5294,5427,5618,5808,6238,6394,6441,6775,7011
7,312,383,460,520,583,619,689,739,779,807,810,1219,1260,1534,1682,1712,1896,1976,2265,2360,2384,2464,2465,2747,2760,2785,3034,3268,3421,3589,3598,3721,4095,4285,4345,4377,4490,4597,4684,4702,4742,4845,4859,4929,5144,5266,5279,5457,5642,5678,5682,5970,6128,6137,6162,6426,6529,6571,6573,6608,6647,6919,6988
7,45,77,165,167,262,265,272,327,423,453,612,662,739,775,852,892,951,1056,1196,1375,1510,1528,1722,1777,2313,2508,2635,2801,2828,2829,2866,2932,3010,3093,3260,3267,3370,3468,3527,3573,3598,3678,3706,3787,4278,4380,4637,4745,4857,4949,5211,5694,5775,5900,6050,6077,6109,6152,6210,6278,6469,6629,6775
